Neighbourhood,Neighbourhood Number,Gender,Characteristic,Year,Value,Ward
Lago Lindo,2450,Women+,Average age of the population,2021,42.8,tastawiyiniwak Ward
Lago Lindo,2450,Women+,Median age of the population,2021,44.4,tastawiyiniwak Ward
Lansdowne,5260,Men+,Average age of the population,2021,41.5,papastew Ward
Lansdowne,5260,Men+,Median age of the population,2021,40.8,papastew Ward
Lansdowne,5260,Total,Average age of the population,2021,43.3,papastew Ward
Lansdowne,5260,Total,Median age of the population,2021,44,papastew Ward
Lansdowne,5260,Women+,Average age of the population,2021,45.3,papastew Ward
Lansdowne,5260,Women+,Median age of the population,2021,47.6,papastew Ward
Larkspur,6390,Men+,Average age of the population,2021,37.7,Sspomitapi Ward
Larkspur,6390,Men+,Median age of the population,2021,35.6,Sspomitapi Ward
Larkspur,6390,Total,Average age of the population,2021,38.4,Sspomitapi Ward
Larkspur,6390,Total,Median age of the population,2021,36.8,Sspomitapi Ward
Larkspur,6390,Women+,Average age of the population,2021,39.1,Sspomitapi Ward
Larkspur,6390,Women+,Median age of the population,2021,38.8,Sspomitapi Ward
Lauderdale,3260,Men+,Average age of the population,2021,38.7,Anirniq Ward
Lauderdale,3260,Men+,Median age of the population,2021,38,Anirniq Ward
Lauderdale,3260,Total,Average age of the population,2021,38.4,Anirniq Ward
Lauderdale,3260,Total,Median age of the population,2021,37.6,Anirniq Ward
Lauderdale,3260,Women+,Average age of the population,2021,38,Anirniq Ward
Lauderdale,3260,Women+,Median age of the population,2021,37.6,Anirniq Ward
Laurel,6444,Men+,Average age of the population,2021,30.5,Sspomitapi Ward
Laurel,6444,Men+,Median age of the population,2021,30.8,Sspomitapi Ward
Laurel,6444,Total,Average age of the population,2021,30.9,Sspomitapi Ward
Laurel,6444,Total,Median age of the population,2021,31.2,Sspomitapi Ward
Laurel,6444,Women+,Average age of the population,2021,31.4,Sspomitapi Ward
Laurel,6444,Women+,Median age of the population,2021,31.6,Sspomitapi Ward
Laurier Heights,3270,Men+,Average age of the population,2021,44.7,sipiwiyiniwak Ward
Laurier Heights,3270,Men+,Median age of the population,2021,46,sipiwiyiniwak Ward
Laurier Heights,3270,Total,Average age of the population,2021,47.3,sipiwiyiniwak Ward
Laurier Heights,3270,Total,Median age of the population,2021,48.4,sipiwiyiniwak Ward
Laurier Heights,3270,Women+,Average age of the population,2021,49.6,sipiwiyiniwak Ward
Laurier Heights,3270,Women+,Median age of the population,2021,50.4,sipiwiyiniwak Ward
Lee Ridge,6400,Men+,Average age of the population,2021,37.4,Karhiio Ward
Lee Ridge,6400,Men+,Median age of the population,2021,36,Karhiio Ward
Lee Ridge,6400,Total,Average age of the population,2021,38,Karhiio Ward
Lee Ridge,6400,Total,Median age of the population,2021,36.8,Karhiio Ward
Lee Ridge,6400,Women+,Average age of the population,2021,38.6,Karhiio Ward
Lee Ridge,6400,Women+,Median age of the population,2021,37.6,Karhiio Ward
Leger,5630,Men+,Average age of the population,2021,39.4,pihêsiwin Ward
Leger,5630,Men+,Median age of the population,2021,40.4,pihêsiwin Ward
Leger,5630,Total,Average age of the population,2021,41.1,pihêsiwin Ward
Leger,5630,Total,Median age of the population,2021,43.6,pihêsiwin Ward
Leger,5630,Women+,Average age of the population,2021,42.6,pihêsiwin Ward
Leger,5630,Women+,Median age of the population,2021,45.6,pihêsiwin Ward
Lendrum Place,5270,Men+,Average age of the population,2021,44.4,papastew Ward
Lendrum Place,5270,Men+,Median age of the population,2021,43.2,papastew Ward
Lendrum Place,5270,Total,Average age of the population,2021,45.7,papastew Ward
Lendrum Place,5270,Total,Median age of the population,2021,46.4,papastew Ward
Lendrum Place,5270,Women+,Average age of the population,2021,47,papastew Ward
Lendrum Place,5270,Women+,Median age of the population,2021,48.4,papastew Ward
Lorelei,3280,Men+,Average age of the population,2021,37.8,tastawiyiniwak Ward
Lorelei,3280,Men+,Median age of the population,2021,36,tastawiyiniwak Ward
Lorelei,3280,Total,Average age of the population,2021,39,tastawiyiniwak Ward
Lorelei,3280,Total,Median age of the population,2021,38,tastawiyiniwak Ward
Lorelei,3280,Women+,Average age of the population,2021,40.2,tastawiyiniwak Ward
Lorelei,3280,Women+,Median age of the population,2021,39.2,tastawiyiniwak Ward
Lymburn,4270,Men+,Average age of the population,2021,38.3,sipiwiyiniwak Ward
Lymburn,4270,Men+,Median age of the population,2021,37.6,sipiwiyiniwak Ward
Lymburn,4270,Total,Average age of the population,2021,39.5,sipiwiyiniwak Ward
Lymburn,4270,Total,Median age of the population,2021,39.2,sipiwiyiniwak Ward
Lymburn,4270,Women+,Average age of the population,2021,40.6,sipiwiyiniwak Ward
Lymburn,4270,Women+,Median age of the population,2021,41.2,sipiwiyiniwak Ward
Lynnwood,4280,Men+,Average age of the population,2021,39.1,sipiwiyiniwak Ward
Lynnwood,4280,Men+,Median age of the population,2021,37.2,sipiwiyiniwak Ward
Lynnwood,4280,Total,Average age of the population,2021,39.7,sipiwiyiniwak Ward
Lynnwood,4280,Total,Median age of the population,2021,38.8,sipiwiyiniwak Ward
Lynnwood,4280,Women+,Average age of the population,2021,40.4,sipiwiyiniwak Ward
Lynnwood,4280,Women+,Median age of the population,2021,40,sipiwiyiniwak Ward
Macewan,5452,Men+,Average age of the population,2021,36.7,Ipiihkoohkanipiaohtsi Ward
Macewan,5452,Men+,Median age of the population,2021,36.4,Ipiihkoohkanipiaohtsi Ward
Macewan,5452,Total,Average age of the population,2021,37.6,Ipiihkoohkanipiaohtsi Ward
Macewan,5452,Total,Median age of the population,2021,36.8,Ipiihkoohkanipiaohtsi Ward
Macewan,5452,Women+,Average age of the population,2021,38.5,Ipiihkoohkanipiaohtsi Ward
Macewan,5452,Women+,Median age of the population,2021,37.6,Ipiihkoohkanipiaohtsi Ward
Mactaggart,5477,Men+,Average age of the population,2021,37.4,pihêsiwin Ward
Mactaggart,5477,Men+,Median age of the population,2021,36.8,pihêsiwin Ward
Mactaggart,5477,Total,Average age of the population,2021,38.7,pihêsiwin Ward
Mactaggart,5477,Total,Median age of the population,2021,38.4,pihêsiwin Ward
Mactaggart,5477,Women+,Average age of the population,2021,39.9,pihêsiwin Ward
Mactaggart,5477,Women+,Median age of the population,2021,40,pihêsiwin Ward
Magrath Heights,5476,Men+,Average age of the population,2021,37.3,pihêsiwin Ward
Magrath Heights,5476,Men+,Median age of the population,2021,39.6,pihêsiwin Ward
Magrath Heights,5476,Total,Average age of the population,2021,38.6,pihêsiwin Ward
Magrath Heights,5476,Total,Median age of the population,2021,41.2,pihêsiwin Ward
Magrath Heights,5476,Women+,Average age of the population,2021,39.9,pihêsiwin Ward
Magrath Heights,5476,Women+,Median age of the population,2021,42,pihêsiwin Ward
Malmo Plains,5280,Men+,Average age of the population,2021,39.8,papastew Ward
Malmo Plains,5280,Men+,Median age of the population,2021,34.8,papastew Ward
Malmo Plains,5280,Total,Average age of the population,2021,41.3,papastew Ward
Malmo Plains,5280,Total,Median age of the population,2021,36.8,papastew Ward
Malmo Plains,5280,Women+,Average age of the population,2021,42.8,papastew Ward
Malmo Plains,5280,Women+,Median age of the population,2021,39.6,papastew Ward
Maple,6441,Men+,Average age of the population,2021,29.7,Sspomitapi Ward
Maple,6441,Men+,Median age of the population,2021,30.6,Sspomitapi Ward
Maple,6441,Total,Average age of the population,2021,30.2,Sspomitapi Ward
Maple,6441,Women+,Average age of the population,2021,30.6,Sspomitapi Ward
Maple,6441,Women+,Median age of the population,2021,31.2,Sspomitapi Ward
Maple Ridge,6410,Men+,Average age of the population,2021,45.4,Sspomitapi Ward
Maple Ridge,6410,Men+,Median age of the population,2021,49.6,Sspomitapi Ward
Maple Ridge,6410,Total,Average age of the population,2021,46.4,Sspomitapi Ward
Maple Ridge,6410,Total,Median age of the population,2021,50.8,Sspomitapi Ward
Maple Ridge,6410,Women+,Average age of the population,2021,47.4,Sspomitapi Ward
Maple Ridge,6410,Women+,Median age of the population,2021,52,Sspomitapi Ward
Matt Berry,2500,Men+,Average age of the population,2021,39.5,Dene Ward
Matt Berry,2500,Men+,Median age of the population,2021,39.6,Dene Ward
Matt Berry,2500,Total,Average age of the population,2021,40,Dene Ward
Matt Berry,2500,Total,Median age of the population,2021,40.8,Dene Ward
Matt Berry,2500,Women+,Average age of the population,2021,40.6,Dene Ward
Matt Berry,2500,Women+,Median age of the population,2021,41.6,Dene Ward
Mayfield,4290,Men+,Average age of the population,2021,43.3,Nakota Isga Ward
Mayfield,4290,Men+,Median age of the population,2021,44,Nakota Isga Ward
Mayfield,4290,Total,Average age of the population,2021,42.9,Nakota Isga Ward
Mayfield,4290,Total,Median age of the population,2021,42.8,Nakota Isga Ward
Mayfield,4290,Women+,Average age of the population,2021,42.6,Nakota Isga Ward
Mayfield,4290,Women+,Median age of the population,2021,42,Nakota Isga Ward
Mayliewan,2511,Men+,Average age of the population,2021,41.9,tastawiyiniwak Ward
Mayliewan,2511,Men+,Median age of the population,2021,44,tastawiyiniwak Ward
Mayliewan,2511,Total,Average age of the population,2021,42.3,tastawiyiniwak Ward
Mayliewan,2511,Total,Median age of the population,2021,44.4,tastawiyiniwak Ward
Mayliewan,2511,Women+,Average age of the population,2021,42.6,tastawiyiniwak Ward
Mayliewan,2511,Women+,Median age of the population,2021,44.8,tastawiyiniwak Ward
Mccauley,1140,Men+,Average age of the population,2021,46.5,O-day'min Ward
Mccauley,1140,Men+,Median age of the population,2021,49.2,O-day'min Ward
Mccauley,1140,Total,Average age of the population,2021,46.3,O-day'min Ward
Mccauley,1140,Total,Median age of the population,2021,48.8,O-day'min Ward
Mccauley,1140,Women+,Average age of the population,2021,46.2,O-day'min Ward
Mccauley,1140,Women+,Median age of the population,2021,47.6,O-day'min Ward
Mcconachie,2522,Men+,Average age of the population,2021,29.5,Dene Ward
Mcconachie,2522,Men+,Median age of the population,2021,31,Dene Ward
Mcconachie,2522,Total,Average age of the population,2021,29.8,Dene Ward
Mcconachie,2522,Total,Median age of the population,2021,31,Dene Ward
Mcconachie,2522,Women+,Average age of the population,2021,30,Dene Ward
Mcconachie,2522,Women+,Median age of the population,2021,31,Dene Ward
Mckernan,5290,Men+,Average age of the population,2021,34.1,papastew Ward
Mckernan,5290,Men+,Median age of the population,2021,29.6,papastew Ward
Mckernan,5290,Total,Average age of the population,2021,34.6,papastew Ward
Mckernan,5290,Total,Median age of the population,2021,29.8,papastew Ward
Mckernan,5290,Women+,Average age of the population,2021,35.1,papastew Ward
Mckernan,5290,Women+,Median age of the population,2021,29.8,papastew Ward
Mcleod,2530,Men+,Average age of the population,2021,43.6,Dene Ward
Mcleod,2530,Men+,Median age of the population,2021,44.4,Dene Ward
Mcleod,2530,Total,Average age of the population,2021,44.6,Dene Ward
Mcleod,2530,Total,Median age of the population,2021,46.4,Dene Ward
Mcleod,2530,Women+,Average age of the population,2021,45.6,Dene Ward
Mcleod,2530,Women+,Median age of the population,2021,48.4,Dene Ward
Mcqueen,3300,Men+,Average age of the population,2021,44.2,Nakota Isga Ward
Mcqueen,3300,Men+,Median age of the population,2021,43.2,Nakota Isga Ward
Mcqueen,3300,Total,Average age of the population,2021,42.2,Nakota Isga Ward
Mcqueen,3300,Total,Median age of the population,2021,41.2,Nakota Isga Ward
Mcqueen,3300,Women+,Average age of the population,2021,40.1,Nakota Isga Ward
Mcqueen,3300,Women+,Median age of the population,2021,38.4,Nakota Isga Ward
Meadowlark Park,4310,Men+,Average age of the population,2021,43.8,sipiwiyiniwak Ward
Meadowlark Park,4310,Men+,Median age of the population,2021,43.6,sipiwiyiniwak Ward
Meadowlark Park,4310,Total,Average age of the population,2021,46.2,sipiwiyiniwak Ward
Meadowlark Park,4310,Total,Median age of the population,2021,46.8,sipiwiyiniwak Ward
Meadowlark Park,4310,Women+,Average age of the population,2021,48.3,sipiwiyiniwak Ward
Meadowlark Park,4310,Women+,Median age of the population,2021,50,sipiwiyiniwak Ward
Menisa,6450,Men+,Average age of the population,2021,41.9,Karhiio Ward
Menisa,6450,Men+,Median age of the population,2021,42,Karhiio Ward
Menisa,6450,Total,Average age of the population,2021,42.4,Karhiio Ward
Menisa,6450,Total,Median age of the population,2021,42.8,Karhiio Ward
Menisa,6450,Women+,Average age of the population,2021,42.9,Karhiio Ward
Menisa,6450,Women+,Median age of the population,2021,44.4,Karhiio Ward
Meyokumin,6460,Men+,Average age of the population,2021,38.6,Karhiio Ward
Meyokumin,6460,Men+,Median age of the population,2021,37.6,Karhiio Ward
Meyokumin,6460,Total,Average age of the population,2021,39,Karhiio Ward
Meyokumin,6460,Total,Median age of the population,2021,38.4,Karhiio Ward
Meyokumin,6460,Women+,Average age of the population,2021,39.5,Karhiio Ward
Meyokumin,6460,Women+,Median age of the population,2021,39.2,Karhiio Ward
Meyonohk,6470,Men+,Average age of the population,2021,40,Karhiio Ward
Meyonohk,6470,Men+,Median age of the population,2021,39.2,Karhiio Ward
Meyonohk,6470,Total,Average age of the population,2021,40.1,Karhiio Ward
Meyonohk,6470,Total,Median age of the population,2021,39.2,Karhiio Ward
Meyonohk,6470,Women+,Average age of the population,2021,40.2,Karhiio Ward
Meyonohk,6470,Women+,Median age of the population,2021,39.6,Karhiio Ward
Michaels Park,6480,Men+,Average age of the population,2021,40.4,Karhiio Ward
Michaels Park,6480,Men+,Median age of the population,2021,40,Karhiio Ward
Michaels Park,6480,Total,Average age of the population,2021,41.4,Karhiio Ward
Michaels Park,6480,Total,Median age of the population,2021,41.2,Karhiio Ward
Michaels Park,6480,Women+,Average age of the population,2021,42.4,Karhiio Ward
Michaels Park,6480,Women+,Median age of the population,2021,42,Karhiio Ward
Mill Woods Town Centre,6520,Men+,Average age of the population,2021,49.9,Karhiio Ward
Mill Woods Town Centre,6520,Men+,Median age of the population,2021,47.6,Karhiio Ward
Pembina,3340,Total,Median age of the population,2021,38.4,Anirniq Ward
Mill Woods Town Centre,6520,Total,Average age of the population,2021,56.5,Karhiio Ward
Mill Woods Town Centre,6520,Total,Median age of the population,2021,61.6,Karhiio Ward
Mill Woods Town Centre,6520,Women+,Average age of the population,2021,61,Karhiio Ward
Mill Woods Town Centre,6520,Women+,Median age of the population,2021,69,Karhiio Ward
Miller,2541,Men+,Average age of the population,2021,38.8,Dene Ward
Miller,2541,Men+,Median age of the population,2021,38.8,Dene Ward
Miller,2541,Total,Average age of the population,2021,40.1,Dene Ward
Miller,2541,Total,Median age of the population,2021,39.6,Dene Ward
Miller,2541,Women+,Average age of the population,2021,41.2,Dene Ward
Miller,2541,Women+,Median age of the population,2021,40,Dene Ward
Minchau,6530,Men+,Average age of the population,2021,37.3,Sspomitapi Ward
Minchau,6530,Men+,Median age of the population,2021,35.6,Sspomitapi Ward
Minchau,6530,Total,Average age of the population,2021,38.1,Sspomitapi Ward
Minchau,6530,Total,Median age of the population,2021,36.8,Sspomitapi Ward
Minchau,6530,Women+,Average age of the population,2021,38.9,Sspomitapi Ward
Minchau,6530,Women+,Median age of the population,2021,38,Sspomitapi Ward
Montrose,2550,Men+,Average age of the population,2021,39.2,Métis Ward
Montrose,2550,Men+,Median age of the population,2021,38,Métis Ward
Montrose,2550,Total,Average age of the population,2021,39.4,Métis Ward
Montrose,2550,Total,Median age of the population,2021,38.4,Métis Ward
Montrose,2550,Women+,Average age of the population,2021,39.7,Métis Ward
Montrose,2550,Women+,Median age of the population,2021,39.2,Métis Ward
Newton,2560,Men+,Average age of the population,2021,41.4,Métis Ward
Newton,2560,Men+,Median age of the population,2021,40.4,Métis Ward
Newton,2560,Total,Average age of the population,2021,42,Métis Ward
Newton,2560,Total,Median age of the population,2021,41.2,Métis Ward
Newton,2560,Women+,Average age of the population,2021,42.6,Métis Ward
Newton,2560,Women+,Median age of the population,2021,42.4,Métis Ward
North Glenora,3310,Men+,Average age of the population,2021,37.4,Nakota Isga Ward
North Glenora,3310,Men+,Median age of the population,2021,37.2,Nakota Isga Ward
North Glenora,3310,Total,Average age of the population,2021,38.3,Nakota Isga Ward
North Glenora,3310,Total,Median age of the population,2021,38,Nakota Isga Ward
North Glenora,3310,Women+,Average age of the population,2021,39.2,Nakota Isga Ward
North Glenora,3310,Women+,Median age of the population,2021,38.4,Nakota Isga Ward
Northmount,2580,Men+,Average age of the population,2021,43.2,tastawiyiniwak Ward
Northmount,2580,Men+,Median age of the population,2021,42.8,tastawiyiniwak Ward
Northmount,2580,Total,Average age of the population,2021,45.6,tastawiyiniwak Ward
Northmount,2580,Total,Median age of the population,2021,46,tastawiyiniwak Ward
Northmount,2580,Women+,Average age of the population,2021,47.7,tastawiyiniwak Ward
Northmount,2580,Women+,Median age of the population,2021,48.8,tastawiyiniwak Ward
Ogilvie Ridge,5300,Men+,Average age of the population,2021,46.1,pihêsiwin Ward
Ogilvie Ridge,5300,Men+,Median age of the population,2021,50.4,pihêsiwin Ward
Ogilvie Ridge,5300,Total,Average age of the population,2021,47,pihêsiwin Ward
Ogilvie Ridge,5300,Total,Median age of the population,2021,52.4,pihêsiwin Ward
Ogilvie Ridge,5300,Women+,Average age of the population,2021,47.9,pihêsiwin Ward
Ogilvie Ridge,5300,Women+,Median age of the population,2021,53.6,pihêsiwin Ward
Oleskiw,4360,Men+,Average age of the population,2021,45.6,sipiwiyiniwak Ward
Oleskiw,4360,Men+,Median age of the population,2021,49.6,sipiwiyiniwak Ward
Oleskiw,4360,Total,Average age of the population,2021,46,sipiwiyiniwak Ward
Oleskiw,4360,Total,Median age of the population,2021,50.4,sipiwiyiniwak Ward
Oleskiw,4360,Women+,Average age of the population,2021,46.3,sipiwiyiniwak Ward
Oleskiw,4360,Women+,Median age of the population,2021,51.6,sipiwiyiniwak Ward
Oliver,1150,Men+,Average age of the population,2021,44.3,O-day'min Ward
Oliver,1150,Men+,Median age of the population,2021,38.4,O-day'min Ward
Oliver,1150,Total,Average age of the population,2021,44.9,O-day'min Ward
Oliver,1150,Total,Median age of the population,2021,38.8,O-day'min Ward
Oliver,1150,Women+,Average age of the population,2021,45.5,O-day'min Ward
Oliver,1150,Women+,Median age of the population,2021,38.8,O-day'min Ward
Ormsby Place,4380,Men+,Average age of the population,2021,38,sipiwiyiniwak Ward
Ormsby Place,4380,Men+,Median age of the population,2021,37.2,sipiwiyiniwak Ward
Ormsby Place,4380,Total,Average age of the population,2021,38.3,sipiwiyiniwak Ward
Ormsby Place,4380,Total,Median age of the population,2021,37.6,sipiwiyiniwak Ward
Ormsby Place,4380,Women+,Average age of the population,2021,38.6,sipiwiyiniwak Ward
Ormsby Place,4380,Women+,Median age of the population,2021,38.4,sipiwiyiniwak Ward
Ottewell,6550,Men+,Average age of the population,2021,41.9,Métis Ward
Ottewell,6550,Men+,Median age of the population,2021,40.8,Métis Ward
Ottewell,6550,Total,Average age of the population,2021,43.5,Métis Ward
Ottewell,6550,Total,Median age of the population,2021,42.4,Métis Ward
Ottewell,6550,Women+,Average age of the population,2021,45,Métis Ward
Ottewell,6550,Women+,Median age of the population,2021,44,Métis Ward
Overlanders,2590,Men+,Average age of the population,2021,35.4,Dene Ward
Overlanders,2590,Men+,Median age of the population,2021,34.8,Dene Ward
Overlanders,2590,Total,Average age of the population,2021,35.9,Dene Ward
Overlanders,2590,Total,Median age of the population,2021,35.2,Dene Ward
Overlanders,2590,Women+,Average age of the population,2021,36.5,Dene Ward
Overlanders,2590,Women+,Median age of the population,2021,35.2,Dene Ward
Oxford,3320,Men+,Average age of the population,2021,37.7,Anirniq Ward
Oxford,3320,Men+,Median age of the population,2021,37.6,Anirniq Ward
Oxford,3320,Total,Average age of the population,2021,38.4,Anirniq Ward
Oxford,3320,Total,Median age of the population,2021,38.4,Anirniq Ward
Oxford,3320,Women+,Average age of the population,2021,39,Anirniq Ward
Oxford,3320,Women+,Median age of the population,2021,38.8,Anirniq Ward
Ozerna,2600,Men+,Average age of the population,2021,40,tastawiyiniwak Ward
Ozerna,2600,Men+,Median age of the population,2021,40.4,tastawiyiniwak Ward
Ozerna,2600,Total,Average age of the population,2021,40.9,tastawiyiniwak Ward
Ozerna,2600,Total,Median age of the population,2021,42.8,tastawiyiniwak Ward
Ozerna,2600,Women+,Average age of the population,2021,41.8,tastawiyiniwak Ward
Ozerna,2600,Women+,Median age of the population,2021,44.4,tastawiyiniwak Ward
Paisley,5469,Men+,Average age of the population,2021,29,Ipiihkoohkanipiaohtsi Ward
Paisley,5469,Men+,Median age of the population,2021,31.8,Ipiihkoohkanipiaohtsi Ward
Paisley,5469,Total,Average age of the population,2021,28.9,Ipiihkoohkanipiaohtsi Ward
Paisley,5469,Total,Median age of the population,2021,31.6,Ipiihkoohkanipiaohtsi Ward
Paisley,5469,Women+,Average age of the population,2021,28.9,Ipiihkoohkanipiaohtsi Ward
Paisley,5469,Women+,Median age of the population,2021,31.2,Ipiihkoohkanipiaohtsi Ward
Parkallen,5310,Men+,Average age of the population,2021,39,papastew Ward
Parkallen,5310,Men+,Median age of the population,2021,36.8,papastew Ward
Parkallen,5310,Total,Average age of the population,2021,39.7,papastew Ward
Parkallen,5310,Total,Median age of the population,2021,37.6,papastew Ward
Parkallen,5310,Women+,Average age of the population,2021,40.3,papastew Ward
Parkallen,5310,Women+,Median age of the population,2021,38.4,papastew Ward
Parkdale,1160,Men+,Average age of the population,2021,41.1,Métis Ward
Parkdale,1160,Men+,Median age of the population,2021,40.8,Métis Ward
Parkdale,1160,Total,Average age of the population,2021,40.8,Métis Ward
Parkdale,1160,Total,Median age of the population,2021,40,Métis Ward
Parkdale,1160,Women+,Average age of the population,2021,40.5,Métis Ward
Parkdale,1160,Women+,Median age of the population,2021,39.2,Métis Ward
Parkview,3330,Men+,Average age of the population,2021,40.4,sipiwiyiniwak Ward
Parkview,3330,Men+,Median age of the population,2021,41.6,sipiwiyiniwak Ward
Parkview,3330,Total,Average age of the population,2021,41.3,sipiwiyiniwak Ward
Parkview,3330,Total,Median age of the population,2021,42,sipiwiyiniwak Ward
Parkview,3330,Women+,Average age of the population,2021,42.2,sipiwiyiniwak Ward
Parkview,3330,Women+,Median age of the population,2021,42.8,sipiwiyiniwak Ward
Patricia Heights,4390,Men+,Average age of the population,2021,36.5,sipiwiyiniwak Ward
Patricia Heights,4390,Men+,Median age of the population,2021,34.8,sipiwiyiniwak Ward
Patricia Heights,4390,Total,Average age of the population,2021,37.3,sipiwiyiniwak Ward
Patricia Heights,4390,Total,Median age of the population,2021,36,sipiwiyiniwak Ward
Patricia Heights,4390,Women+,Average age of the population,2021,38,sipiwiyiniwak Ward
Patricia Heights,4390,Women+,Median age of the population,2021,37.2,sipiwiyiniwak Ward
Pembina,3340,Men+,Average age of the population,2021,39.8,Anirniq Ward
Pembina,3340,Men+,Median age of the population,2021,38,Anirniq Ward
Pembina,3340,Total,Average age of the population,2021,41.1,Anirniq Ward
Pembina,3340,Women+,Average age of the population,2021,42.4,Anirniq Ward
Pembina,3340,Women+,Median age of the population,2021,39.6,Anirniq Ward
Pleasantview,5320,Men+,Average age of the population,2021,39,papastew Ward
Pleasantview,5320,Men+,Median age of the population,2021,35.6,papastew Ward
Pleasantview,5320,Total,Average age of the population,2021,40.3,papastew Ward
Pleasantview,5320,Total,Median age of the population,2021,38,papastew Ward
Pleasantview,5320,Women+,Average age of the population,2021,41.6,papastew Ward
Pleasantview,5320,Women+,Median age of the population,2021,39.6,papastew Ward
Pollard Meadows,6580,Men+,Average age of the population,2021,36.3,Sspomitapi Ward
Pollard Meadows,6580,Men+,Median age of the population,2021,35.6,Sspomitapi Ward
Pollard Meadows,6580,Total,Average age of the population,2021,37.2,Sspomitapi Ward
Pollard Meadows,6580,Total,Median age of the population,2021,36.4,Sspomitapi Ward
Pollard Meadows,6580,Women+,Average age of the population,2021,38.1,Sspomitapi Ward
Pollard Meadows,6580,Women+,Median age of the population,2021,37.2,Sspomitapi Ward
Potter Greens,4710,Men+,Average age of the population,2021,48.6,Nakota Isga Ward
Potter Greens,4710,Men+,Median age of the population,2021,54,Nakota Isga Ward
Potter Greens,4710,Total,Average age of the population,2021,48.7,Nakota Isga Ward
Potter Greens,4710,Total,Median age of the population,2021,54,Nakota Isga Ward
Potter Greens,4710,Women+,Average age of the population,2021,48.8,Nakota Isga Ward
Potter Greens,4710,Women+,Median age of the population,2021,54.4,Nakota Isga Ward
Prince Charles,3350,Men+,Average age of the population,2021,38.1,Anirniq Ward
Prince Charles,3350,Men+,Median age of the population,2021,38.4,Anirniq Ward
Prince Charles,3350,Total,Average age of the population,2021,38.8,Anirniq Ward
Prince Charles,3350,Total,Median age of the population,2021,38.8,Anirniq Ward
Prince Charles,3350,Women+,Average age of the population,2021,39.6,Anirniq Ward
Prince Charles,3350,Women+,Median age of the population,2021,39.6,Anirniq Ward
Prince Rupert,1170,Men+,Average age of the population,2021,39.8,O-day'min Ward
Prince Rupert,1170,Men+,Median age of the population,2021,38.4,O-day'min Ward
Prince Rupert,1170,Total,Average age of the population,2021,40.2,O-day'min Ward
Prince Rupert,1170,Total,Median age of the population,2021,38,O-day'min Ward
Prince Rupert,1170,Women+,Average age of the population,2021,40.7,O-day'min Ward
Prince Rupert,1170,Women+,Median age of the population,2021,38,O-day'min Ward
Queen Alexandra,5330,Men+,Average age of the population,2021,38.2,papastew Ward
Queen Alexandra,5330,Men+,Median age of the population,2021,33.6,papastew Ward
Queen Alexandra,5330,Total,Average age of the population,2021,38.6,papastew Ward
Queen Alexandra,5330,Total,Median age of the population,2021,33.6,papastew Ward
Queen Alexandra,5330,Women+,Average age of the population,2021,39.1,papastew Ward
Queen Alexandra,5330,Women+,Median age of the population,2021,33.2,papastew Ward
Queen Mary Park,1180,Men+,Average age of the population,2021,36.2,O-day'min Ward
Queen Mary Park,1180,Men+,Median age of the population,2021,34.4,O-day'min Ward
Queen Mary Park,1180,Total,Average age of the population,2021,35.9,O-day'min Ward
Queen Mary Park,1180,Total,Median age of the population,2021,33.6,O-day'min Ward
Queen Mary Park,1180,Women+,Average age of the population,2021,35.5,O-day'min Ward
Queen Mary Park,1180,Women+,Median age of the population,2021,32.4,O-day'min Ward
Quesnell Heights,4420,Men+,Average age of the population,2021,43.4,sipiwiyiniwak Ward
Quesnell Heights,4420,Men+,Median age of the population,2021,45.2,sipiwiyiniwak Ward
Quesnell Heights,4420,Total,Average age of the population,2021,43,sipiwiyiniwak Ward
Quesnell Heights,4420,Total,Median age of the population,2021,44.8,sipiwiyiniwak Ward
Quesnell Heights,4420,Women+,Average age of the population,2021,42.6,sipiwiyiniwak Ward
Quesnell Heights,4420,Women+,Median age of the population,2021,44.4,sipiwiyiniwak Ward
Ramsay Heights,5340,Men+,Average age of the population,2021,42,pihêsiwin Ward
Ramsay Heights,5340,Men+,Median age of the population,2021,42,pihêsiwin Ward
Ramsay Heights,5340,Total,Average age of the population,2021,42.1,pihêsiwin Ward
Ramsay Heights,5340,Total,Median age of the population,2021,42,pihêsiwin Ward
Ramsay Heights,5340,Women+,Average age of the population,2021,42.1,pihêsiwin Ward
Ramsay Heights,5340,Women+,Median age of the population,2021,42,pihêsiwin Ward
Rapperswill,3370,Men+,Average age of the population,2021,29.8,Anirniq Ward
Rapperswill,3370,Men+,Median age of the population,2021,32.4,Anirniq Ward
Rossdale,1220,Total,Average age of the population,2021,43.4,O-day'min Ward
Rapperswill,3370,Total,Average age of the population,2021,30.1,Anirniq Ward
Rapperswill,3370,Total,Median age of the population,2021,32.4,Anirniq Ward
Rapperswill,3370,Women+,Average age of the population,2021,30.3,Anirniq Ward
Rapperswill,3370,Women+,Median age of the population,2021,32.4,Anirniq Ward
Rhatigan Ridge,5350,Men+,Average age of the population,2021,45.3,pihêsiwin Ward
Rhatigan Ridge,5350,Men+,Median age of the population,2021,48.4,pihêsiwin Ward
Rhatigan Ridge,5350,Total,Average age of the population,2021,45.2,pihêsiwin Ward
Rhatigan Ridge,5350,Total,Median age of the population,2021,48.8,pihêsiwin Ward
